bpd	arm	test	key_or_pair	N	canonical_same	max_rel_diff	max_bins
53	T	merge	73,73+1	41	1	0	0.000
53	T	merge	74,74+1	40	1	0	0.000
53	T	merge	75,75+1	41	1	0	0.000
53	T	merge	76,76+1	563	1	0	0.000
53	T	merge	77,77+1	563	1	0	0.000
53	T	merge	78,78+1	1631	1	0	0.000
53	T	merge	79,79+1	3211	1	0	0.000
53	T	merge	80,80+1	3223	1	0	0.000
53	T	merge	81,81+1	4078	1	0	0.000
53	T	merge	82,82+1	4420	1	0	0.000
53	T	merge	83,83+1	3604	1	0	0.000
53	T	merge	84,84+1	3435	1	0	0.000
53	T	merge	85,85+1	3466	1	0	0.000
53	T	merge	86,86+1	3310	1	0	0.000
53	T	merge	87,87+1	3347	1	0	0.000
53	T	merge	88,88+1	4199	1	0	0.000
53	T	merge	89,89+1	4560	1	0	0.000
53	T	merge	90,90+1	3690	1	0	0.000
53	T	merge	91,91+1	2161	1	0	0.000
53	T	merge	92,92+1	630	1	0	0.000
53	T	merge	93,93+1	629	1	0	0.000
53	T	merge	94,94+1	583	1	0	0.000
53	T	merge	95,95+1	89	1	0	0.000
53	T	merge	96,96+1	83	1	0	0.000
53	T	merge	97,97+1	75	1	0	0.000
53	T	merge	98,98+1	59	1	0	0.000
53	T	merge	99,99+1	64	1	0	0.000
53	T	merge	100,100+1	121	1	0	0.000
53	T	merge	101,101+1	2420	1	0	0.000
53	T	merge	102,102+1	2467	1	0	0.000
53	T	merge	103,103+1	478	1	0	0.000
53	T	merge	104,104+1	847	1	0	0.000
53	T	merge	105,105+1	521	1	0	0.000
53	T	merge	106,106+1	911	1	0	0.000
53	T	merge	107,107+1	1131	1	0	0.000
53	T	merge	108,108+1	7624	1	0	0.000
53	T	merge	109,109+1	7411	1	0	0.000
53	T	merge	110,110+1	77	1	0	0.000
53	T	merge	111,111+1	581	1	0	0.000
53	T	merge	112,112+1	567	1	0	0.000
53	T	merge	113,113+1	327	1	0	0.000
53	T	merge	114,114+1	462	1	0	0.000
53	T	merge	115,115+1	699	1	0	0.000
53	T	merge	116,116+1	1072	1	0	0.000
53	T	merge	117,117+1	889	1	0	0.000
53	T	merge	118,118+1	582	1	0	0.000
53	T	merge	119,119+1	1099	1	0	0.000
53	T	merge	120,120+1	1446	1	0	0.000
53	T	merge	121,121+1	600	1	0	0.000
53	T	merge	122,122+1	44	1	0	0.000
53	T	merge	123,123+1	48	1	0	0.000
53	T	merge	124,124+1	1153	1	0	0.000
53	T	merge	125,125+1	1240	1	0	0.000
53	T	merge	126,126+1	203	1	0	0.000
53	T	merge	127,127+1	146	1	0	0.000
53	T	merge	128,128+1	175	1	0	0.000
53	T	merge	129,129+1	540	1	0	0.000
53	T	merge	130,130+1	527	1	0	0.000
53	T	merge	131,131+1	2108	1	0	0.000
53	T	merge	132,132+1	2027	1	0	0.000
53	T	merge	133,133+1	483	1	0	0.000
53	T	merge	134,134+1	2260	1	0	0.000
53	T	merge	135,135+1	3586	1	0	0.000
53	T	merge	136,136+1	4678	1	0	0.000
53	T	merge	137,137+1	3857	1	0	0.000
53	T	merge	138,138+1	1035	1	0	0.000
53	T	merge	139,139+1	227	1	0	0.000
53	T	merge	140,140+1	909	1	0	0.000
53	T	merge	141,141+1	1028	1	0	0.000
53	T	merge	142,142+1	1403	1	0	0.000
53	T	merge	143,143+1	1899	1	0	0.000
53	T	merge	144,144+1	2390	1	0	0.000
53	T	merge	145,145+1	5230	1	0	0.000
53	T	merge	146,146+1	155665	1	0	0.000
53	T	merge	147,147+1	152226	1	0	0.000
53	T	merge	148,148+1	770	1	0	0.000
53	T	merge	149,149+1	4790	1	0	0.000
53	T	merge	150,150+1	4359	1	0	0.000
53	T	merge	151,151+1	909	1	0	0.000
53	T	merge	152,152+1	5845	1	0	0.000
53	T	merge	153,153+1	5294	1	0	0.000
53	T	merge	154,154+1	274	1	0	0.000
53	T	merge	155,155+1	317	1	0	0.000
53	T	merge	156,156+1	486	1	0	0.000
53	T	merge	157,157+1	312	1	0	0.000
53	T	merge	158,158+1	3306	1	0	0.000
53	T	merge	159,159+1	3317	1	0	0.000
53	T	merge	160,160+1	138	1	0	0.000
53	T	merge	161,161+1	1417	1	0	0.000
53	T	merge	162,162+1	4657	0	0	0.000
53	T	merge	163,163+1	7250	0	0	0.000
53	T	merge	164,164+1	4437	1	0	0.000
53	T	merge	165,165+1	2431	1	0	0.000
53	T	merge	166,166+1	2059	1	0	0.000
53	T	merge	167,167+1	3349	1	0	0.000
53	T	merge	168,168+1	7181	1	0	0.000
53	T	merge	169,169+1	4000	1	0	0.000
53	T	merge	170,170+1	6920	1	0	0.000
53	T	merge	171,171+1	6926	1	0	0.000
53	T	merge	172,172+1	131	1	0	0.000
53	T	merge	173,173+1	211	1	0	0.000
53	T	merge	174,174+1	217	1	0	0.000
53	T	merge	175,175+1	133	1	0	0.000
53	T	merge	176,176+1	839	1	0	0.000
53	T	merge	177,177+1	1127	1	0	0.000
53	T	merge	178,178+1	4046	1	0	0.000
53	T	merge	179,179+1	3762	1	0	0.000
53	T	merge	180,180+1	265	1	0	0.000
53	T	merge	181,181+1	531	1	0	0.000
53	T	merge	182,182+1	870	1	0	0.000
53	T	merge	183,183+1	1425	1	0	0.000
53	T	merge	184,184+1	1627	1	0	0.000
53	T	merge	185,185+1	2375	1	0	0.000
53	T	merge	186,186+1	4571	1	0	0.000
53	T	merge	187,187+1	3362	1	0	0.000
53	T	merge	188,188+1	444	1	0	0.000
53	T	merge	189,189+1	26271	1	0	0.000
53	T	merge	190,190+1	26447	0	0	0.000
53	T	merge	191,191+1	589	1	0	0.000
53	T	merge	192,192+1	1461	1	0	0.000
53	T	merge	193,193+1	1915	1	0	0.000
53	T	merge	194,194+1	3608	1	0	0.000
53	T	merge	195,195+1	3836	1	0	0.000
53	T	merge	196,196+1	1406	1	0	0.000
53	T	merge	197,197+1	419	1	0	0.000
53	T	merge	198,198+1	2145	1	0	0.000
53	T	merge	199,199+1	2350	1	0	0.000
53	G	ordering	0	47	1	0	0.000
53	G	ordering	1	21	1	0	0.000
53	G	ordering	2	21	1	0	0.000
53	G	ordering	3	20	1	0	0.000
53	G	ordering	4	20	1	0	0.000
53	G	ordering	5	20	1	0	0.000
53	G	ordering	6	20	1	0	0.000
53	G	ordering	7	21	1	0	0.000
53	G	ordering	8	334	1	0	0.000
53	G	ordering	9	34	1	0	0.000
53	G	ordering	10	516	1	0	0.000
53	G	ordering	11	516	1	0	0.000
53	G	ordering	12	303	1	0	0.000
53	G	ordering	13	515	1	0	0.000
53	G	ordering	14	514	1	0	0.000
53	G	ordering	15	100	1	0	0.000
53	G	ordering	16	205	1	0	0.000
53	G	ordering	17	272	1	0	0.000
53	G	ordering	18	525	1	0	0.000
53	G	ordering	19	595	1	0	0.000
53	G	ordering	20	533	1	0	0.000
53	G	ordering	21	1501	1	0	0.000
53	G	ordering	22	518	1	0	0.000
53	G	ordering	23	21	1	0	0.000
53	G	ordering	24	140	1	0	0.000
53	G	ordering	25	38	1	0	0.000
53	G	ordering	26	82	1	0	0.000
53	G	ordering	27	123	1	0	0.000
53	G	ordering	28	146	1	0	0.000
53	G	ordering	29	38	1	0	0.000
53	G	ordering	30	601	1	0	0.000
53	G	ordering	31	662	1	0	0.000
53	G	ordering	32	776	1	0	0.000
53	G	ordering	33	61	1	0	0.000
53	G	ordering	34	194	1	0	0.000
53	G	ordering	35	777	1	0	0.000
53	G	ordering	36	84	1	0	0.000
53	G	ordering	37	605	1	0	0.000
53	G	ordering	38	763	1	0	0.000
53	G	ordering	39	60	1	0	0.000
53	G	ordering	40	827	1	0	0.000
53	G	ordering	41	97	1	0	0.000
53	G	ordering	42	493	1	0	0.000
53	G	ordering	43	96	1	0	0.000
53	G	ordering	44	777	1	0	0.000
53	G	ordering	45	601	1	0	0.000
53	G	ordering	46	357	1	0	0.000
53	G	ordering	47	94	1	0	0.000
53	G	ordering	48	84	1	0	0.000
53	G	ordering	49	84	1	0	0.000
53	G	ordering	50	601	1	0	0.000
53	G	ordering	51	637	1	0	0.000
53	G	ordering	52	694	1	0	0.000
53	G	ordering	53	601	1	0	0.000
53	G	ordering	54	94	1	0	0.000
53	G	ordering	55	93	1	0	0.000
53	G	ordering	56	62	1	0	0.000
53	G	ordering	57	777	1	0	0.000
53	G	ordering	58	23	1	0	0.000
53	G	ordering	59	25	1	0	0.000
53	G	ordering	60	22	1	0	0.000
53	G	ordering	61	35	1	0	0.000
53	G	ordering	62	21	1	0	0.000
53	G	ordering	63	21	1	0	0.000
53	G	ordering	64	29	1	0	0.000
53	G	ordering	65	20	1	0	0.000
53	G	ordering	66	29	1	0	0.000
53	G	ordering	67	1736	1	0	0.000
53	G	ordering	68	20	1	0	0.000
53	G	ordering	69	20	1	0	0.000
53	G	ordering	70	20	1	0	0.000
53	G	ordering	71	20	1	0	0.000
53	G	ordering	72	249	1	0	0.000
53	G	ordering	73	21	1	0	0.000
53	G	ordering	74	20	1	0	0.000
53	G	ordering	75	20	1	0	0.000
53	G	ordering	76	21	1	0	0.000
53	G	ordering	77	542	1	0	0.000
53	G	ordering	78	21	1	0	0.000
53	G	ordering	79	1610	1	0	0.000
53	G	ordering	80	1601	1	0	0.000
53	G	ordering	81	1622	1	0	0.000
53	G	ordering	82	2456	1	0	0.000
53	G	ordering	83	1964	1	0	0.000
53	G	ordering	84	1640	1	0	0.000
53	G	ordering	85	1795	1	0	0.000
53	G	ordering	86	1671	1	0	0.000
53	G	ordering	87	1639	1	0	0.000
53	G	ordering	88	1708	1	0	0.000
53	G	ordering	89	2491	1	0	0.000
53	G	ordering	90	2069	1	0	0.000
53	G	ordering	91	1621	1	0	0.000
53	G	ordering	92	540	1	0	0.000
53	G	ordering	93	90	1	0	0.000
53	G	ordering	94	539	1	0	0.000
53	G	ordering	95	44	1	0	0.000
53	G	ordering	96	45	1	0	0.000
53	G	ordering	97	38	1	0	0.000
53	G	ordering	98	37	1	0	0.000
53	G	ordering	99	22	1	0	0.000
53	G	ordering	100	42	1	0	0.000
53	G	ordering	101	79	1	0	0.000
53	G	ordering	102	2341	1	0	0.000
53	G	ordering	103	126	1	0	0.000
53	G	ordering	104	352	1	0	0.000
53	G	ordering	105	495	1	0	0.000
53	G	ordering	106	26	1	0	0.000
53	G	ordering	107	885	1	0	0.000
53	G	ordering	108	246	1	0	0.000
53	G	ordering	109	7378	1	0	0.000
53	G	ordering	110	33	1	0	0.000
53	G	ordering	111	44	1	0	0.000
53	G	ordering	112	537	1	0	0.000
53	G	ordering	113	30	1	0	0.000
53	G	ordering	114	297	1	0	0.000
53	G	ordering	115	165	1	0	0.000
53	G	ordering	116	534	1	0	0.000
53	G	ordering	117	538	1	0	0.000
53	G	ordering	118	351	1	0	0.000
53	G	ordering	119	231	1	0	0.000
53	G	ordering	120	868	1	0	0.000
53	G	ordering	121	578	1	0	0.000
53	G	ordering	122	22	1	0	0.000
53	G	ordering	123	22	1	0	0.000
53	G	ordering	124	26	1	0	0.000
53	G	ordering	125	1127	1	0	0.000
53	G	ordering	126	113	1	0	0.000
53	G	ordering	127	90	1	0	0.000
53	G	ordering	128	56	1	0	0.000
53	G	ordering	129	119	1	0	0.000
53	G	ordering	130	421	1	0	0.000
53	G	ordering	131	106	1	0	0.000
53	G	ordering	132	2002	1	0	0.000
53	G	ordering	133	25	1	0	0.000
53	G	ordering	134	458	1	0	0.000
53	G	ordering	135	1802	1	0	0.000
53	G	ordering	136	1784	1	0	0.000
53	G	ordering	137	2894	1	0	0.000
53	G	ordering	138	963	1	0	0.000
