bpd	arm	test	key_or_pair	N	canonical_same	max_rel_diff	max_bins
53	T	merge	162,162+1	131	1	0	0.000
53	T	merge	163,163+1	106	1	0	0.000
53	T	merge	164,164+1	97	1	0	0.000
53	T	merge	165,165+1	120	1	0	0.000
53	T	merge	166,166+1	3947	1	0	0.000
53	T	merge	167,167+1	3911	1	0	0.000
53	T	merge	168,168+1	182	1	0	0.000
53	T	merge	169,169+1	704	1	0	0.000
53	T	merge	170,170+1	573	1	0	0.000
53	T	merge	171,171+1	70	1	0	0.000
53	T	merge	172,172+1	800	1	0	0.000
53	T	merge	173,173+1	842	1	0	0.000
53	T	merge	174,174+1	1471	1	0	0.000
53	T	merge	175,175+1	1770	1	0	0.000
53	T	merge	176,176+1	138050	1	0	0.000
53	T	merge	177,177+1	137736	1	0	0.000
53	T	merge	178,178+1	98	1	0	0.000
53	T	merge	179,179+1	874	1	0	0.000
53	T	merge	180,180+1	868	1	0	0.000
53	T	merge	181,181+1	51	1	0	0.000
53	T	merge	182,182+1	475	1	0	0.000
53	T	merge	183,183+1	477	1	0	0.000
53	T	merge	184,184+1	277	1	0	0.000
53	T	merge	185,185+1	271	1	0	0.000
53	T	merge	186,186+1	41	1	0	0.000
53	T	merge	187,187+1	44	1	0	0.000
53	T	merge	188,188+1	840	1	0	0.000
53	T	merge	189,189+1	1644	1	0	0.000
53	T	merge	190,190+1	1430	1	0	0.000
53	T	merge	191,191+1	631	1	0	0.000
53	T	merge	192,192+1	417	1	0	0.000
53	T	merge	193,193+1	428	1	0	0.000
53	T	merge	194,194+1	1480	1	0	0.000
53	T	merge	195,195+1	1466	1	0	0.000
53	T	merge	196,196+1	986	1	0	0.000
53	T	merge	197,197+1	981	1	0	0.000
53	T	merge	198,198+1	1699	1	0	0.000
53	T	merge	199,199+1	1750	1	0	0.000
53	G	ordering	0	103	1	0	0.000
53	G	ordering	1	25	1	0	0.000
53	G	ordering	2	25	1	0	0.000
53	G	ordering	3	25	1	0	0.000
53	G	ordering	4	25	1	0	0.000
53	G	ordering	5	36	1	0	0.000
53	G	ordering	6	58	1	0	0.000
53	G	ordering	7	37	1	0	0.000
53	G	ordering	8	38	1	0	0.000
53	G	ordering	9	135	1	0	0.000
53	G	ordering	10	135	1	0	0.000
53	G	ordering	11	79	1	0	0.000
53	G	ordering	12	58	1	0	0.000
53	G	ordering	13	135	1	0	0.000
53	G	ordering	14	54	1	0	0.000
53	G	ordering	15	123	1	0	0.000
53	G	ordering	16	95	1	0	0.000
53	G	ordering	17	122	1	0	0.000
53	G	ordering	18	113	1	0	0.000
53	G	ordering	19	80	1	0	0.000
53	G	ordering	20	30	1	0	0.000
53	G	ordering	21	67	1	0	0.000
53	G	ordering	22	36	1	0	0.000
53	G	ordering	23	49	1	0	0.000
53	G	ordering	24	59	1	0	0.000
53	G	ordering	25	138	1	0	0.000
53	G	ordering	26	139	1	0	0.000
53	G	ordering	27	20	1	0	0.000
53	G	ordering	28	20	1	0	0.000
53	G	ordering	29	22	1	0	0.000
53	G	ordering	30	135	1	0	0.000
53	G	ordering	31	134	1	0	0.000
53	G	ordering	32	139	1	0	0.000
53	G	ordering	33	139	1	0	0.000
53	G	ordering	34	134	1	0	0.000
53	G	ordering	35	108	1	0	0.000
53	G	ordering	36	513	1	0	0.000
53	G	ordering	37	44	1	0	0.000
53	G	ordering	38	797	1	0	0.000
53	G	ordering	39	797	1	0	0.000
53	G	ordering	40	286	1	0	0.000
53	G	ordering	41	792	1	0	0.000
53	G	ordering	42	796	1	0	0.000
53	G	ordering	43	128	1	0	0.000
53	G	ordering	44	216	1	0	0.000
53	G	ordering	45	425	1	0	0.000
53	G	ordering	46	814	1	0	0.000
53	G	ordering	47	877	1	0	0.000
