file	bpd	bound	scope	arm	conv	quantile	n	p50	p95	p99	max	within_bound	mean_signed
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	fold1	T	raw	P75	314	0.012956	0.049670	0.313751	0.739935	0.949045	-0.004412
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	fold1	T	binning	P90	314	0.017825	0.041803	0.053492	0.053492	0.961783	0.013777
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	fold1	T	raw	P90	314	0.017742	0.053492	0.180045	0.481600	0.939490	0.008550
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	fold1	T	binning	P95	314	0.019189	0.042219	0.053492	0.053492	0.955414	0.014251
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	fold1	T	raw	P95	314	0.019743	0.051455	0.068625	0.743322	0.942675	0.010656
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	fold1	T	binning	P99	314	0.017228	0.042219	0.053492	0.053492	0.958599	0.015209
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	fold1	T	raw	P99	314	0.017228	0.042219	0.053492	0.053492	0.958599	0.015208
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	fold1	T	binning	P999	314	0.018003	0.042219	0.053492	0.060325	0.958599	0.016719
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	fold1	T	raw	P999	314	0.018003	0.042219	0.053492	0.060325	0.958599	0.016719
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	fold1	G	binning	P1	314	0.005445	0.044403	0.044403	0.044403	1.000000	0.006901
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	fold1	G	raw	P1	314	0.005445	0.044403	0.044403	0.044403	1.000000	0.006900
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	fold1	G	binning	P50	314	0.023053	0.042344	0.044403	0.044403	1.000000	0.014053
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	fold1	G	raw	P50	314	0.024707	0.962190	0.966035	0.981350	0.834395	-0.107033
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	fold1	G	binning	P75	314	0.022594	0.042136	0.044403	0.044403	1.000000	0.016314
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	fold1	G	raw	P75	314	0.023663	0.044403	0.306729	0.738899	0.968153	0.003444
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	fold1	G	binning	P90	314	0.022793	0.044403	0.044403	0.044403	1.000000	0.019960
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	fold1	G	raw	P90	314	0.024334	0.044403	0.186279	0.477799	0.980892	0.015297
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	fold1	G	binning	P95	314	0.020300	0.044403	0.044403	0.044403	1.000000	0.020354
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	fold1	G	raw	P95	314	0.020531	0.044403	0.056260	0.742140	0.987261	0.016469
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	fold1	G	binning	P99	314	0.018987	0.044403	0.044403	0.044403	1.000000	0.020745
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	fold1	G	raw	P99	314	0.018987	0.044403	0.044403	0.044403	1.000000	0.020743
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	fold1	G	binning	P999	314	0.018987	0.044403	0.044403	0.044403	1.000000	0.020978
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	fold1	G	raw	P999	314	0.018987	0.044403	0.044403	0.044403	1.000000	0.020978
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	fold2	T	binning	P1	314	0.013310	0.034410	0.045595	0.055250	0.984076	-0.009207
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	fold2	T	raw	P1	314	0.013310	0.034410	0.045595	0.055250	0.984076	-0.009208
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	fold2	T	binning	P50	314	0.014388	0.035598	0.042292	0.072557	0.990446	0.006800
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	fold2	T	raw	P50	314	0.013649	0.114189	0.479870	0.976553	0.936306	-0.013935
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	fold2	T	binning	P75	314	0.015615	0.036429	0.042292	0.049681	0.990446	0.009279
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	fold2	T	raw	P75	314	0.016024	0.046811	0.758755	0.963066	0.949045	-0.013109
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	fold2	T	binning	P90	314	0.017359	0.039285	0.053492	0.055821	0.952229	0.012872
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	fold2	T	raw	P90	314	0.017605	0.048258	0.141672	0.820567	0.945860	0.006234
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	fold2	T	binning	P95	314	0.018574	0.051582	0.053492	0.055821	0.939490	0.015427
