key_ordinal	n	quantile	oracle	T_int_err	T_ceil_err	G_int_err	G_ceil_err
38	32	P1	5787	0.014859	0.014859	0.003916	0.003916
38	32	P50	9715	-0.003683	-0.014446	0.007217	-0.003663
38	32	P75	10915	0.002942	-0.011478	0.010251	-0.000663
38	32	P90	11429	0.014959	0.014959	0.011311	0.011311
38	32	P95	11804	0.018945	0.018945	0.007958	0.007958
38	32	P99	12020	0.022608	0.022608	0.033797	0.033797
38	32	P999	12020	0.022608	0.022608	0.033797	0.033797
39	32	P1	5822	0.021008	0.021008	0.019795	0.019795
39	32	P50	9271	0.007398	-0.001317	0.006201	-0.002504
39	32	P75	10587	0.009359	-0.012331	0.008159	-0.013505
39	32	P90	11675	-0.001617	-0.001617	-0.002803	-0.002803
39	32	P95	11810	0.008645	0.008645	0.007446	0.007446
39	32	P99	12735	0.020294	0.020294	0.019081	0.019081
39	32	P999	12735	0.020294	0.020294	0.019081	0.019081
40	31	P1	5524	0.007604	0.007604	0.029114	0.029114
40	31	P50	9243	-0.000331	-0.000331	0.013643	0.013643
40	31	P75	10944	0.019188	0.019188	0.018577	0.018577
40	31	P90	12245	0.008084	0.008084	-0.007005	-0.007005
40	31	P95	12561	0.011602	0.011602	0.033197	0.033197
40	31	P99	13414	0.033265	0.033265	0.010455	0.010455
40	31	P999	13414	0.033265	0.033265	0.010455	0.010455
41	10	P1	35	0.006424	0.006424	0.007168	0.007168
41	10	P50	94	0.017850	-0.066858	0.018601	-0.066169
41	10	P75	140	0.010403	0.010403	0.011149	0.011149
41	10	P90	172	0.021960	-0.102922	0.022715	-0.102260
41	10	P95	172	0.021960	0.021960	0.022715	0.022715
41	10	P99	172	0.021960	0.021960	0.022715	0.022715
41	10	P999	172	0.021960	0.021960	0.022715	0.022715
42	11	P1	22486	0.043083	0.043083	0.015263	0.015263
42	11	P50	65960	0.008743	0.008743	0.003400	0.003400
42	11	P75	102007	0.007188	0.007188	0.023854	0.023854
42	11	P90	109458	0.023832	0.023832	0.040774	0.040774
42	11	P95	184696	0.021960	0.021960	0.038870	0.038870
42	11	P99	184696	0.021960	0.021960	0.038870	0.038870
42	11	P999	184696	0.021960	0.021960	0.038870	0.038870
43	10	P1	69294	0.001444	0.001444	0.019438	0.019438
43	10	P50	92452	0.002749	-0.011668	0.006091	-0.008374
43	10	P75	94813	0.036091	0.036091	0.009867	0.009867
43	10	P90	121635	0.003568	-0.119066	0.021600	-0.141363
43	10	P95	121635	0.003568	0.003568	0.021600	0.021600
43	10	P99	121635	0.003568	0.003568	0.021600	0.021600
43	10	P999	121635	0.003568	0.003568	0.021600	0.021600
44	10	P1	58	0.033832	0.033832	0.023663	0.023663
44	10	P50	66	0.034994	0.020114	0.024813	0.010079
44	10	P75	73	-0.001241	-0.001241	0.010652	0.010652
44	10	P90	114	0.009235	-0.346399	0.043679	-0.324092
44	10	P95	114	0.009235	0.009235	0.043679	0.043679
44	10	P99	114	0.009235	0.009235	0.043679	0.043679
44	10	P999	114	0.009235	0.009235	0.043679	0.043679
45	13	P1	3551	0.014095	0.014095	0.014502	0.014502
45	13	P50	58047	0.000453	0.000453	0.022834	0.022834
45	13	P75	66011	0.002222	0.002222	0.024643	0.024643
45	13	P90	70569	0.022591	0.022591	0.001020	0.001020
45	13	P95	98741	0.034575	0.034575	0.012751	0.012751
45	13	P99	98741	0.034575	0.034575	0.012751	0.012751
45	13	P999	98741	0.034575	0.034575	0.012751	0.012751
46	32	P1	7406	-0.000725	-0.000725	0.018063	0.018063
46	32	P50	11599	-0.004034	-0.014793	-0.003511	-0.010700
46	32	P75	12507	0.007506	-0.003377	0.010959	0.002213
46	32	P90	13136	-0.004651	-0.004651	-0.001239	-0.001239
46	32	P95	13301	0.000234	0.000234	0.008032	0.008032
46	32	P99	13424	0.035075	0.035075	0.009703	0.009703
46	32	P999	13424	0.035075	0.035075	0.009703	0.009703
47	623	P1	2	-0.007611	-0.007611	-0.030849	-0.030849
47	623	P50	4	0.001230	0.001230	-0.022215	-0.022215
47	623	P75	5	-0.016664	-0.016664	0.002950	0.002950
47	623	P90	5	0.008644	0.008644	0.028763	0.028763
47	623	P95	5	0.017224	0.017224	0.037514	0.037514
47	623	P99	66	0.004772	0.004772	0.024813	0.024813
47	623	P999	166	0.038957	0.038957	0.014628	0.014628
48	7	P1	1168	-0.011722	-0.011722	-0.003230	-0.003230
48	7	P50	1214	0.014858	0.014858	0.023578	0.023578
48	7	P75	1315	0.021960	0.021960	0.030741	0.030741
