key_ordinal	n	quantile	oracle	T_int	T_int_err	T_ceil	T_ceil_err	G_int	G_int_err	G_ceil	G_ceil_err
23	605	P95	7	7.281677	0.040240	7.281677	0.040240	7.050682	0.007240	7.050682	0.007240
23	605	P99	8	8.208614	0.026077	8.208614	0.026077	7.948214	-0.006473	7.948214	-0.006473
23	605	P999	12	12.287740	0.023978	12.287740	0.023978	12.426237	0.035520	12.426237	0.035520
24	763	P1	5	4.941004	-0.011799	4.941004	-0.011799	4.996695	-0.000661	4.996695	-0.000661
24	763	P50	6	5.934775	-0.010871	5.934775	-0.010871	6.001666	0.000278	6.001666	0.000278
24	763	P75	6	6.040259	0.006710	6.040259	0.006710	6.108339	0.018057	6.108339	0.018057
24	763	P90	6	6.104109	0.017352	6.104109	0.017352	6.172910	0.028818	6.172910	0.028818
24	763	P95	6	6.125543	0.020924	6.125543	0.020924	6.194584	0.032431	6.194584	0.032431
24	763	P99	7	7.266774	0.038111	7.266774	0.038111	7.036251	0.005179	7.036251	0.005179
24	763	P999	57	58.710704	0.030012	58.710704	0.030012	59.372441	0.041622	59.372441	0.041622
25	827	P1	5	4.943187	-0.011363	4.943187	-0.011363	4.998903	-0.000219	4.998903	-0.000219
25	827	P50	6	5.957779	-0.007037	5.957779	-0.007037	6.024930	0.004155	6.024930	0.004155
25	827	P75	6	6.053197	0.008866	6.053197	0.008866	6.121424	0.020237	6.121424	0.020237
25	827	P90	6	6.111087	0.018514	6.111087	0.018514	6.179966	0.029994	6.179966	0.029994
25	827	P95	6	6.130349	0.021725	6.130349	0.021725	6.199445	0.033241	6.199445	0.033241
25	827	P99	7	7.235812	0.033687	7.235812	0.033687	7.006272	0.000896	7.006272	0.000896
25	827	P999	8	8.311142	0.038893	8.311142	0.038893	8.047489	0.005936	8.047489	0.005936
26	493	P1	5	4.953706	-0.009259	4.953706	-0.009259	5.009540	0.001908	5.009540	0.001908
26	493	P50	6	6.003146	0.000524	6.003146	0.000524	6.070808	0.011801	6.070808	0.011801
26	493	P75	6	6.089768	0.014961	6.089768	0.014961	6.158407	0.026401	6.158407	0.026401
26	493	P90	7	7.060389	0.008627	7.060389	0.008627	6.836414	-0.023369	6.836414	-0.023369
26	493	P95	7	7.187228	0.026747	7.187228	0.026747	6.959228	-0.005825	6.959228	-0.005825
26	493	P99	7	7.290337	0.041477	7.290337	0.041477	7.059067	0.008438	7.059067	0.008438
