key_ordinal	n	quantile	oracle	T_int	T_int_err	T_ceil	T_ceil_err	G_int	G_int_err	G_ceil	G_ceil_err
20	623	P1	2	1.957509	-0.021245	1.957509	-0.021245	1.919229	-0.040386	1.919229	-0.040386
20	623	P50	3	2.951342	-0.016219	2.951342	-0.016219	3.022110	0.007370	3.022110	0.007370
20	623	P75	3	3.021867	0.007289	3.021867	0.007289	3.094326	0.031442	3.094326	0.031442
20	623	P90	4	4.030315	0.007579	4.030315	0.007579	3.951499	-0.012125	3.951499	-0.012125
20	623	P95	4	4.067158	0.016790	4.067158	0.016790	3.987621	-0.003095	3.987621	-0.003095
20	623	P99	5	5.089679	0.017936	5.089679	0.017936	5.211721	0.042344	5.211721	0.042344
20	623	P999	122	126.740900	0.038860	126.740900	0.038860	124.262367	0.018544	124.262367	0.018544
21	623	P1	1	1.014422	0.014422	1.014422	0.014422	1.038746	0.038746	1.038746	0.038746
21	623	P50	2	2.022553	0.011276	2.022553	0.011276	1.983000	-0.008500	1.983000	-0.008500
21	623	P75	3	2.932279	-0.022574	2.932279	-0.022574	3.002590	0.000863	3.002590	0.000863
21	623	P90	3	2.994639	-0.001787	2.994639	-0.001787	3.066445	0.022148	3.066445	0.022148
21	623	P95	3	3.015719	0.005240	3.015719	0.005240	3.088031	0.029344	3.088031	0.029344
21	623	P99	4	4.085459	0.021365	4.085459	0.021365	4.005564	0.001391	4.005564	0.001391
21	623	P999	74	75.249166	0.016881	75.249166	0.016881	77.053515	0.041264	77.053515	0.041264
22	623	P1	2	1.954227	-0.022886	1.954227	-0.022886	1.919794	-0.040103	1.919794	-0.040103
22	623	P50	3	2.968285	-0.010572	2.968285	-0.010572	3.045462	0.015154	3.045462	0.015154
22	623	P75	4	3.969312	-0.007672	3.969312	-0.007672	3.899374	-0.025157	3.899374	-0.025157
22	623	P90	4	4.042883	0.010721	4.042883	0.010721	3.971649	-0.007088	3.971649	-0.007088
22	623	P95	4	4.067709	0.016927	4.067709	0.016927	3.996037	-0.000991	3.996037	-0.000991
22	623	P99	4	4.087841	0.021960	4.087841	0.021960	4.015814	0.003953	4.015814	0.003953
22	623	P999	81	81.918265	0.011337	81.918265	0.011337	84.048178	0.037632	84.048178	0.037632
23	623	P1	2	1.957460	-0.021270	1.957460	-0.021270	1.919180	-0.040410	1.919180	-0.040410
23	623	P50	3	2.944767	-0.018411	2.944767	-0.018411	3.015377	0.005126	3.015377	0.005126
23	623	P75	3	3.018514	0.006171	3.018514	0.006171	3.090893	0.030298	3.090893	0.030298
23	623	P90	4	4.026335	0.006584	4.026335	0.006584	3.947596	-0.013101	3.947596	-0.013101
23	623	P95	4	4.064704	0.016176	4.064704	0.016176	3.985215	-0.003696	3.985215	-0.003696
23	623	P99	4	4.095913	0.023978	4.095913	0.023978	4.015814	0.003953	4.015814	0.003953
23	623	P999	75	75.249166	0.003322	75.249166	0.003322	77.053515	0.027380	77.053515	0.027380
24	623	P1	1	1.019946	0.019946	1.019946	0.019946	1.044403	0.044403	1.044403	0.044403
24	623	P50	2	2.039238	0.019619	2.039238	0.019619	1.999358	-0.000321	1.999358	-0.000321
24	623	P75	3	2.958109	-0.013964	2.958109	-0.013964	3.029039	0.009680	3.029039	0.009680
24	623	P90	3	3.002214	0.000738	3.002214	0.000738	3.074202	0.024734	3.074202	0.024734
24	623	P95	3	3.017061	0.005687	3.017061	0.005687	3.089405	0.029802	3.089405	0.029802
24	623	P99	4	4.095913	0.023978	4.095913	0.023978	4.015814	0.003953	4.015814	0.003953
24	623	P999	175	179.415593	0.025232	179.415593	0.025232	175.906958	0.005183	175.906958	0.005183
25	623	P1	1	1.017936	0.017936	1.017936	0.017936	1.044403	0.044403	1.044403	0.044403
25	623	P50	3	2.977893	-0.007369	2.977893	-0.007369	3.055319	0.018440	3.055319	0.018440
25	623	P75	4	3.975358	-0.006161	3.975358	-0.006161	3.905313	-0.023672	3.905313	-0.023672
25	623	P90	4	4.045197	0.011299	4.045197	0.011299	3.973921	-0.006520	3.973921	-0.006520
25	623	P95	4	4.068748	0.017187	4.068748	0.017187	3.997058	-0.000736	3.997058	-0.000736
25	623	P99	4	4.087841	0.021960	4.087841	0.021960	4.015814	0.003953	4.015814	0.003953
25	623	P999	79	81.918265	0.036940	81.918265	0.036940	80.474887	0.018669	80.474887	0.018669
26	623	P1	1	1.024859	0.024859	1.024859	0.024859	1.034368	0.034368	1.034368	0.034368
26	623	P50	3	2.959949	-0.013350	2.959949	-0.013350	2.987411	-0.004196	2.987411	-0.004196
26	623	P75	3	3.027808	0.009269	3.027808	0.009269	3.055900	0.018633	3.055900	0.018633
26	623	P90	4	3.997850	-0.000538	3.997850	-0.000538	3.863397	-0.034151	3.863397	-0.034151
26	623	P95	4	4.082870	0.020718	4.082870	0.020718	3.945559	-0.013610	3.945559	-0.013610
26	623	P99	4	4.152751	0.038188	4.152751	0.038188	4.013089	0.003272	4.013089	0.003272
26	623	P999	147	152.991895	0.040761	152.991895	0.040761	147.846593	0.005759	147.846593	0.005759
